"Import","Import"
"Schedule","Schedule"
"Is automatic import enabled?","Is automatic import enabled?"
"Start Time","Start Time"
"Frequency","Frequency"
"Settings","Settings"
"Source file","Source file"
"Link to remote file or path on server","Link to remote file or path on server"
"Special Attributes", "Special Attributes"
"Origin ID", "Origin ID"
